trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
Intersection_1_001.trj,324.00,86.31,-18.75,0.00,3.80,2.00,10.06,4.05,-0.01,-3.80,2.02,-0.43,6:01,rear end,8.04,172.65,326,9,1,4.01,1.85,172.92,6.02,2.02,86.31,-18.75,79.35,-17.89,329,9,1,4.01,1.85,172.49,10.06,2.02,101.23,-20.72,85.76,-18.68,1.00,99.00,99.00,
Intersection_1_001.trj,330.00,148.21,-29.97,0.00,3.40,1.00,16.72,7.15,-2.80,-7.03,5.37,1.96,5:56,rear end,11.36,171.16,335,3,1,10.22,2.50,170.44,9.58,1.78,157.09,-31.12,122.19,-25.24,336,3,1,4.21,2.00,172.40,16.72,5.37,181.25,-34.27,136.09,-28.24,1.00,99.00,99.00,
Intersection_1_001.trj,344.00,118.91,-24.54,0.00,0.00,0.00,12.27,11.70,-1.35,-1.35,6.52,4.69,5:51,rear end,5.74,172.33,335,10003,1,10.22,2.50,167.91,0.57,5.17,119.40,-24.65,118.91,-24.54,337,3,1,7.93,2.55,172.59,12.27,6.52,171.07,-32.94,120.86,-26.41,1.00,99.00,99.00,
Intersection_1_001.trj,344.00,145.83,-30.56,0.00,4.80,2.00,12.75,7.45,-1.41,-1.65,5.57,-7.76,6:16,lane change,10.89,173.40,340,3,1,4.36,1.97,180.19,5.39,5.57,145.83,-30.56,130.93,-30.61,342,3,2,10.22,2.50,172.43,12.75,1.88,174.01,-36.42,151.49,-33.43,1.00,99.00,99.00,
Intersection_1_001.trj,343.00,107.01,-21.97,0.00,0.80,0.00,12.27,12.27,-1.35,-1.35,6.84,4.77,5:50,rear end,5.43,172.59,333,10003,1,10.22,2.50,167.82,0.00,5.43,107.01,-21.97,107.01,-21.97,337,3,1,7.93,2.55,172.59,12.27,6.84,171.07,-32.94,114.60,-25.60,1.00,99.00,99.00,
Intersection_1_001.trj,348.00,128.12,-26.56,0.00,1.80,0.00,17.71,17.71,-4.06,-4.06,9.42,4.60,5:51,rear end,8.29,172.60,336,10003,1,4.21,2.00,168.00,0.00,8.29,128.12,-26.56,128.12,-26.56,344,3,1,4.01,1.85,172.60,17.71,9.42,206.71,-37.56,131.33,-27.77,1.00,99.00,99.00,
Intersection_1_001.trj,348.00,134.01,-27.81,0.00,0.00,0.00,17.71,14.30,-4.06,-4.06,7.83,3.83,5:52,rear end,9.89,171.87,338,10003,1,4.61,1.95,168.77,3.42,6.47,137.24,-28.45,134.01,-27.81,344,3,1,4.01,1.85,172.60,17.71,7.83,206.71,-37.56,131.33,-27.77,1.00,99.00,99.00,
Intersection_1_001.trj,350.00,108.54,-22.30,0.00,0.00,0.00,17.71,17.71,-4.06,-4.06,13.72,4.80,5:50,rear end,4.00,172.60,335,10003,1,10.22,2.50,167.80,0.00,4.00,118.91,-24.54,108.54,-22.30,344,3,1,4.01,1.85,172.60,17.71,13.72,206.71,-37.56,114.72,-25.62,1.00,99.00,99.00,
Intersection_1_001.trj,349.00,114.81,-28.65,0.00,3.40,3.00,6.79,2.12,-1.81,-2.58,1.59,-0.09,6:00,rear end,6.25,172.61,340,3,2,4.36,1.97,172.68,4.67,1.59,114.81,-28.65,111.67,-28.24,342,3,2,10.22,2.50,172.60,6.79,0.53,134.42,-31.20,121.61,-29.54,1.00,99.00,99.00,
Intersection_1_001.trj,359.00,138.88,-29.36,0.00,3.10,1.00,8.95,5.76,-0.63,-1.46,3.68,10.21,5:40,rear end,5.31,168.60,347,3,2,10.22,2.50,162.39,3.27,2.09,149.59,-33.17,132.24,-27.67,346,3,1,6.04,2.40,172.60,8.95,3.68,175.83,-33.55,145.79,-29.65,1.00,99.00,99.00,
