class,probability,count
373,1.0116644915880098e-05,4
374,1.5174967373820147e-05,6
375,3.2879095976610314e-05,13
376,1.2645806144850122e-05,5
377,1.7704128602790172e-05,7
378,2.7820773518670267e-05,11
379,4.805406335043046e-05,19
380,7.5874836869100735e-06,3
381,5.058322457940049e-06,2
382,2.0233289831760196e-05,8
383,1.2645806144850122e-05,5
384,1.7704128602790172e-05,7
385,6.32290307242506e-05,25
386,8.093315932704078e-05,32
387,1.5174967373820147e-05,6
388,2.0233289831760196e-05,8
389,5.058322457940049e-06,2
390,8.093315932704078e-05,32
391,5.817070826631056e-05,23
392,4.046657966352039e-05,16
393,4.046657966352039e-05,16
394,6.575819195322063e-05,26
395,7.587483686910074e-05,30
396,2.5291612289700243e-05,10
397,4.046657966352039e-05,16
398,3.793741843455037e-05,15
399,1.5174967373820147e-05,6
400,4.552490212146044e-05,18
401,1.0116644915880098e-05,4
402,4.552490212146044e-05,18
403,5.0583224579400486e-05,20
404,4.046657966352039e-05,16
405,2.0233289831760196e-05,8
406,3.793741843455037e-05,15
407,4.046657966352039e-05,16
408,2.7820773518670267e-05,11
409,4.805406335043046e-05,19
410,1.5174967373820147e-05,6
411,6.32290307242506e-05,25
412,5.058322457940049e-06,2
413,2.276245106073022e-05,9
414,4.2995740892490416e-05,17
415,4.805406335043046e-05,19
416,2.276245106073022e-05,9
417,1.7704128602790172e-05,7
418,4.046657966352039e-05,16
419,1.5174967373820147e-05,6
420,2.276245106073022e-05,9
421,6.069986949528059e-05,24
422,3.2879095976610314e-05,13
423,1.0116644915880098e-05,4
424,5.0583224579400486e-05,20
425,4.552490212146044e-05,18
426,2.7820773518670267e-05,11
427,1.7704128602790172e-05,7
428,2.0233289831760196e-05,8
429,3.5408257205580345e-05,14
430,5.058322457940049e-06,2
431,3.0349934747640294e-05,12
432,2.5291612289700243e-05,10
433,5.5641547037340534e-05,22
434,4.805406335043046e-05,19
435,3.2879095976610314e-05,13
436,2.276245106073022e-05,9
437,1.0116644915880098e-05,4
438,5.0583224579400486e-05,20
439,4.046657966352039e-05,16
440,2.0233289831760196e-05,8
441,7.5874836869100735e-06,3
442,5.5641547037340534e-05,22
443,1.7704128602790172e-05,7
444,2.7820773518670267e-05,11
445,5.311238580837051e-05,21
446,7.840399809807076e-05,31
447,1.2645806144850122e-05,5
448,5.311238580837051e-05,21
449,3.0349934747640294e-05,12
450,2.0233289831760196e-05,8
451,2.5291612289700243e-05,10
452,3.2879095976610314e-05,13
453,3.0349934747640294e-05,12
454,2.0233289831760196e-05,8
455,7.5874836869100735e-06,3
456,1.0116644915880098e-05,4
457,1.7704128602790172e-05,7
458,3.0349934747640294e-05,12
459,3.0349934747640294e-05,12
460,7.334567564013071e-05,29
461,3.5408257205580345e-05,14
462,1.5174967373820147e-05,6
463,2.5291612289700243e-05,10
464,1.5174967373820147e-05,6
465,6.575819195322063e-05,26
466,2.0233289831760196e-05,8
467,2.276245106073022e-05,9
468,3.2879095976610314e-05,13
469,4.046657966352039e-05,16
470,1.2645806144850122e-05,5
471,3.2879095976610314e-05,13
472,1.5174967373820147e-05,6
473,0.00011128309407468107,44
474,1.7704128602790172e-05,7
475,1.0116644915880098e-05,4
476,6.828735318219065e-05,27
477,3.0349934747640294e-05,12
478,2.5291612289700243e-05,10
479,3.0349934747640294e-05,12
480,3.2879095976610314e-05,13
481,1.5174967373820147e-05,6
482,3.0349934747640294e-05,12
483,5.817070826631056e-05,23
484,1.7704128602790172e-05,7
485,2.5291612289700243e-05,10
486,7.081651441116069e-05,28
487,2.0233289831760196e-05,8
488,4.805406335043046e-05,19
489,7.840399809807076e-05,31
490,2.7820773518670267e-05,11
491,2.276245106073022e-05,9
492,4.2995740892490416e-05,17
493,2.276245106073022e-05,9
494,7.5874836869100735e-06,3
495,2.5291612289700243e-05,10
496,3.2879095976610314e-05,13
497,1.7704128602790172e-05,7
498,1.5174967373820147e-05,6
499,5.311238580837051e-05,21
500,3.0349934747640294e-05,12
501,2.7820773518670267e-05,11
502,1.2645806144850122e-05,5
503,5.058322457940049e-06,2
504,2.276245106073022e-05,9
505,5.058322457940049e-06,2
506,4.805406335043046e-05,19
507,1.2645806144850122e-05,5
508,2.0233289831760196e-05,8
509,4.552490212146044e-05,18
510,7.587483686910074e-05,30
511,5.311238580837051e-05,21
512,7.587483686910074e-05,30
513,6.32290307242506e-05,25
514,7.5874836869100735e-06,3
515,1.2645806144850122e-05,5
516,1.7704128602790172e-05,7
517,2.276245106073022e-05,9
518,3.2879095976610314e-05,13
519,5.0583224579400486e-05,20
520,4.2995740892490416e-05,17
521,6.828735318219065e-05,27
522,2.7820773518670267e-05,11
523,5.311238580837051e-05,21
524,5.311238580837051e-05,21
525,3.0349934747640294e-05,12
526,4.552490212146044e-05,18
527,2.5291612289700243e-05,10
528,5.311238580837051e-05,21
529,1.5174967373820147e-05,6
530,2.5291612289700245e-06,1
531,4.046657966352039e-05,16
532,4.046657966352039e-05,16
533,3.2879095976610314e-05,13
534,5.0583224579400486e-05,20
535,3.793741843455037e-05,15
536,2.5291612289700243e-05,10
537,7.587483686910074e-05,30
538,7.587483686910074e-05,30
539,2.276245106073022e-05,9
540,4.046657966352039e-05,16
541,3.0349934747640294e-05,12
542,9.610812670086093e-05,38
543,1.7704128602790172e-05,7
544,3.5408257205580345e-05,14
545,7.5874836869100735e-06,3
546,3.793741843455037e-05,15
547,2.7820773518670267e-05,11
548,2.276245106073022e-05,9
549,1.2645806144850122e-05,5
550,2.276245106073022e-05,9
551,3.0349934747640294e-05,12
552,4.046657966352039e-05,16
553,1.2645806144850122e-05,5
554,1.2645806144850122e-05,5
555,8.093315932704078e-05,32
556,6.828735318219065e-05,27
557,2.276245106073022e-05,9
558,4.552490212146044e-05,18
559,5.817070826631056e-05,23
560,1.5174967373820147e-05,6
561,4.046657966352039e-05,16
562,1.0116644915880098e-05,4
563,3.5408257205580345e-05,14
564,2.7820773518670267e-05,11
565,3.5408257205580345e-05,14
566,6.828735318219065e-05,27
567,2.0233289831760196e-05,8
568,8.852064301395085e-05,35
569,1.5174967373820147e-05,6
570,2.5291612289700243e-05,10
571,2.0233289831760196e-05,8
572,7.5874836869100735e-06,3
573,8.599148178498083e-05,34
574,2.0233289831760196e-05,8
575,3.2879095976610314e-05,13
576,3.0349934747640294e-05,12
577,3.5408257205580345e-05,14
578,2.276245106073022e-05,9
579,5.058322457940049e-06,2
580,4.046657966352039e-05,16
