trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
Intersection_1_001-rs-w-jrude6.trj,239.00,-42.93,3.73,0.00,3.90,1.00,4.91,1.56,-0.75,-5.37,1.10,-17.69,6:35,rear end,4.37,339.14,37,7,1,4.21,2.00,351.06,4.91,1.10,-42.93,3.73,-38.09,2.97,38,7,2,7.93,2.55,333.37,4.21,0.46,-49.15,7.35,-47.56,6.55,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,239.00,51.31,22.17,0.00,4.50,1.00,10.14,6.18,-1.38,-7.23,3.43,-0.22,6:00,rear end,7.39,82.28,247,8,1,4.01,1.85,82.44,3.96,3.43,51.31,22.17,51.82,26.01,249,8,1,4.64,2.00,82.23,10.14,2.75,49.90,11.72,50.78,18.18,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,240.00,50.78,18.18,0.00,4.00,2.00,9.35,6.44,-1.74,-7.45,3.22,-0.46,6:01,rear end,6.13,82.04,249,8,1,4.64,2.00,82.39,2.91,3.22,50.78,18.18,51.47,23.36,252,8,1,4.64,2.00,81.94,9.35,3.22,49.34,7.86,50.35,14.97,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,238.00,-19.04,-1.15,0.00,2.90,3.00,4.55,0.34,-1.90,-1.90,0.27,-4.03,6:08,rear end,3.67,342.87,36,10008,1,4.01,1.85,345.95,3.84,0.27,-20.02,-0.91,-15.16,-2.12,31,7,1,10.22,2.50,341.92,3.62,0.08,-38.04,4.77,-24.50,0.35,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,243.00,49.77,17.30,0.00,4.20,2.00,2.12,1.20,-6.05,-6.05,0.74,-5.24,6:10,rear end,1.38,73.53,250,10002,1,6.04,2.40,76.61,0.93,0.46,49.77,17.30,51.39,24.13,256,10002,1,4.61,1.95,71.36,2.12,0.74,46.64,8.48,47.98,12.45,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,242.00,47.79,11.61,0.00,0.00,0.00,11.87,0.54,-0.02,-7.45,0.33,2.54,5:55,rear end,11.82,76.90,250,10012,1,6.04,2.40,75.91,11.87,0.21,40.14,-18.91,47.79,11.61,252,10004,1,4.64,2.00,78.45,11.75,0.33,44.69,-13.24,50.13,13.42,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,243.00,-36.24,2.69,0.00,0.90,3.00,2.26,1.29,-0.65,-0.65,0.91,-12.84,6:26,rear end,0.91,339.30,37,7,1,4.21,2.00,352.14,0.00,0.91,-36.24,2.69,-33.41,2.30,38,7,1,7.93,2.55,339.30,1.29,0.38,-46.89,5.87,-41.40,3.79,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,247.00,34.75,-74.12,0.00,4.60,1.00,11.01,1.53,-1.20,-1.52,1.18,0.03,5:59,rear end,10.66,82.36,259,5,3,3.75,1.99,82.34,9.48,1.18,34.75,-74.12,35.90,-65.56,263,5,3,10.22,2.50,82.37,11.01,0.34,32.72,-89.24,34.08,-79.09,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,245.00,50.52,16.19,0.00,3.40,2.00,4.21,0.97,-6.05,-6.05,0.49,-11.80,6:24,rear end,1.65,75.03,252,8,1,4.64,2.00,82.45,1.21,0.48,50.52,16.19,52.76,33.15,256,10002,1,4.61,1.95,70.66,2.12,0.49,46.64,8.48,50.12,18.41,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,246.00,51.23,21.56,0.00,2.20,2.00,11.19,9.98,-1.21,-2.93,5.54,-4.03,6:08,rear end,5.64,78.90,252,8,1,4.64,2.00,82.45,1.21,4.44,50.52,16.19,52.76,33.15,258,5,3,4.01,1.85,78.42,11.19,5.54,40.40,-32.05,50.95,19.43,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,247.00,38.57,-45.71,0.00,3.30,3.00,10.53,4.64,-0.54,-4.44,3.34,-10.16,6:20,lane change,9.27,84.20,261,5,3,4.76,2.07,92.50,6.11,3.34,38.57,-45.71,38.03,-33.37,257,5,3,10.22,2.50,82.34,10.53,1.29,34.80,-73.73,38.89,-43.27,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,248.00,35.18,-48.37,0.00,3.20,2.00,7.23,1.97,-0.42,-7.55,1.27,0.00,5:59,rear end,6.53,82.34,254,5,4,10.22,2.50,82.34,5.25,1.27,35.18,-48.37,36.36,-39.63,255,5,4,18.12,2.55,82.34,7.23,0.70,32.15,-70.93,34.33,-54.69,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,249.00,48.88,14.98,0.00,1.10,2.00,7.36,4.87,-0.33,-6.82,2.60,-0.59,6:01,rear end,2.83,74.99,256,10002,1,4.61,1.95,75.55,0.24,2.60,48.36,13.52,51.98,27.60,251,10012,1,4.94,2.07,74.97,5.11,2.28,42.47,-9.08,49.02,15.32,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,249.00,33.78,-58.82,0.00,3.40,2.00,7.41,2.91,-0.57,-3.50,2.11,0.00,6:00,rear end,5.30,82.34,255,5,4,18.12,2.55,82.34,4.50,0.79,33.78,-58.82,34.33,-54.69,260,5,4,6.67,2.60,82.34,7.41,2.11,30.48,-83.32,32.22,-70.37,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,252.00,46.11,6.63,0.00,2.60,3.00,6.17,0.32,-0.99,-2.05,0.26,2.95,5:54,rear end,3.93,76.25,251,10002,1,4.94,2.07,73.81,3.73,0.26,46.11,6.63,51.63,25.64,253,10012,1,18.12,2.55,76.76,3.98,0.06,41.29,-14.44,45.69,4.22,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,254.00,29.03,-116.88,0.00,4.00,1.00,11.35,1.33,-0.99,-6.79,0.99,-0.05,6:00,rear end,10.37,82.38,264,5,3,10.22,2.50,82.39,10.02,0.35,29.03,-116.88,34.70,-74.43,265,5,3,4.61,1.95,82.34,11.35,0.99,26.77,-133.47,33.12,-86.22,1.00,99.00,99.00,
